Device_Category,Title,Price,Condition,Item_URL
iPod Classic,Apple iPod Classic 160GB A1238 MB150LL/A Black/Silver Tested With accesories A6,149.99,Used,https://www.ebay.com/itm/358158162418?_skw=iPod+Classic+160GB&hash=item5363e3d9f2:g:RbsAAeSwyZNpd6Y~&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbju%2FZ0CFnhXhyYk096uQiXRQd%2Fj0u92jhwqhqIHLexzyXVzsU6pMfZemjaQE4Bp%2FTKS0u4XXAAO8hIosW0LSHf4uFpLi%2BE3pQyqiLsk5bCpCIB2y2GHJpzPtOd4W%2BH6%2BQfdw5e3JS78xTKpIhsBsNd%2FOK0YI53kwPBvzFkfdaa36%2FyKlTyrkqQQhGi5ce2vSpb3hj8cdzfqppIenpDeZsIavfHKVvR8OxoDF9Tp%2BcVdISbDyu5jBhvSSg70hQZ0EwUfXh2yPmOEejhhrIdHJt%2FAkXtmv%2F4dgiJAv0Sw2Ad2A%3D%3D
iPod Classic,Apple IPOD CLASSIC 7th Generation 160GB (MC297ll/a) MP3 - MINT Condition,324.95,Excellent - Refurbished,https://www.ebay.com/itm/177822436717?_skw=iPod+Classic+160GB&hash=item29670b0d6d:g:LaQAAeSwxBZpfTyK&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbJEl1yuNI97Egg0Vn%2B6mRJp7WOXG16gmhcP6rm5p0Bpsj0sNBTIXv8LURho2%2BB9hN9wC3iskTVnY7sFVxBGvSGR6WM1Ow4szGq%2BActOE6yvdk4R8Ry3JQiQQXP0SxPf5fjZQWtokvMgA9cGOxIeDNdkGnvHn2spMo6EMVTH3RW%2Bqxs%2FJtlX1MlcKmd6rPbDcVU5etWeGcITEnWp9tiJXqVCYfTyHSz37ZhuR7ON%2B1WMaSm%2F2fSU4u7Jo4d5X5s%2FUqOigNwX6QE5E--Q7vKpwxbS1r%2FOZSOkqhdzE3JE2j1pw%3D%3D
iPod Classic,Apple iPod classic 2007 6th Gen Silver 80GB A1238 - Worn Back,159.99,Used,https://www.ebay.com/itm/127696092164?_skw=iPod+Classic+160GB&hash=item1dbb47bc04:g:oCAAAeSwTVFpmPmT&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbQuF0WDUoASIbnrI4t4ZgisfduwYyd%2BZhPH8AiogKlT%2BshpPOK8Jf7lhVm1%2FU0fRg5XhKUojnvBbSrGnKQrRKyX22FX14zcurYImd6hwG7WaAoWil6NU5v3N46x58MD92sXY0czYKQdmz8mYpH6SYFAb8mKqEYwlfK0Rz4Fqzx0YHeEQYuaS3S0YzwDjkERs5FzriqsSucM5PD8SXsS2DupsrIsB7aV%2FqLKUE1T02zNoAS5w4pdFFpkAwDbalqCPivKVnwvRe6J%2FpoW9sODtnK%2BgO%2FupzKPB0%2FV9K214YliQ%3D%3D
iPod Classic,APPLE iPOD  CLASSIC  6TH GEN.  SILVER  80GB...NEW BATTERY...,189.99,Used,https://www.ebay.com/itm/382851634821?_skw=iPod+Classic+160GB&hash=item5923bc5685:g:elsAAOSwv~1aJ3yE&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGY6L4CvwieGR2Hh4XuhcgHCpELIOJ0hfnlUWk9J2zlE%2FocG3cXNAZUxn2A46VMYBLHwn6YviwqZImbf8niB9sq%2Be%2B3A5dRIM2vsRlgoXJQ1LV7AyCzqXM8ZaCdgem5gptIUSosL0q2SNG%2FpqQRrqrUPtFawQhnQHQAdArH2q8zL9n4vjMD1f8N%2Fp%2Btqa4U6oYp0SaamzM8G626MXHVQi34gQD3V0Lrv2cSEKty3e33A%2F8veHMS4v785dcSVaLGhg4C6BiebACyYAWhtzenhR6BPyjVkoOjdKconRxvlCjgMZw%3D%3D
iPod Classic,Apple iPod Classic 160GB 7th Gen A1238 Black BUNDLE | TESTED,161.99,Used,https://www.ebay.com/itm/257374000481?_skw=iPod+Classic+160GB&hash=item3becaf9561:g:PRoAAeSwyiJpm6Bn
iPod Classic,NEW Apple iPod Classic 5th 6th 7th Gen 128GB 256GB Modded NEW Battery Mp3 Player,419.0,New,https://www.ebay.com/itm/406379025681?_skw=iPod+Classic+160GB&hash=item5e9e13d511:g:40MAAeSwNPhpgZLO
iPod Classic,Apple iPod Classic 7th Generation Silver 160 GB MP3 Media Player Tested Working,175.0,Used,https://www.ebay.com/itm/336455599098?_skw=iPod+Classic+160GB&hash=item4e565103fa:g:ZSUAAeSwciJpohD~
iPod Classic,Apple iPod Classic 160GB Black A1238 7th Gen Bundle Tested,200.0,Used,https://www.ebay.com/itm/327023062670?_skw=iPod+Classic+160GB&hash=item4c2417ee8e:g:groAAeSw7WVpo3UL
iPod Classic,Apple iPod classic 7th Generation Black (160 GB) - Short Battery,159.0,Used,https://www.ebay.com/itm/336448068390?_skw=iPod+Classic+160GB&hash=item4e55de1b26:g:9IUAAeSwCOppm-sv
iPod Classic,"Apple iPod classic 6th Generation Black (160 GB), Excellent Condition, Tested!!!",149.99,Used,https://www.ebay.com/itm/317940752293?_skw=iPod+Classic+160GB&hash=item4a06bedfa5:g:mtgAAeSw7EFppJIR
iPod Classic,Apple iPod classic 7th Generation Silver (160 GB) ~ Works / TESTED!!  FREE SHIP!,199.0,Used,https://www.ebay.com/itm/198061450128?_skw=iPod+Classic+160GB&hash=item2e1d61e390:g:NhQAAeSwIfRpcTBB
iPod Classic,Apple iPod Classic 160GB SILVER 7th Generation RARE NEW FACTORY SEALED MC293LL/A,799.99,New,https://www.ebay.com/itm/326091884440?_skw=iPod+Classic+160GB&hash=item4bec974798:g:vYwAAOSwyVNkzVHh
iPod Classic,Apple iPod Classic 7th Gen - A1238 MC297LL 160GB Gray,180.0,Used,https://www.ebay.com/itm/257351257556?_skw=iPod+Classic+160GB&hash=item3beb548dd4:g:etkAAeSw-3lpiPP9
